sort,title,label,color,region
1,North Korea,North Korea,a51e25,East Asia & Pacific
2,China,China,ed1c24,East Asia & Pacific
3,Indonesia,Indonesia,af2639,East Asia & Pacific
4,Malaysia,Malaysia,d91b5c,East Asia & Pacific
5,Thailand,Thailand,ed217c,East Asia & Pacific
6,Burma,Burma,9f1f63,East Asia & Pacific
7,Bangladesh,Bangladesh,771e5c,South & Central Asia
8,Nepal,Nepal,d22f27,South & Central Asia
9,India,India,f26822,South & Central Asia
10,Pakistan,Pakistan,d25128,South & Central Asia
11,Afghanistan,Afghanistan,ca6d29,South & Central Asia
12,Uzbekistan,Uzbekistan,9a2d1f,South & Central Asia
13,Russia,Russia,283891,Europe
14,Romania,Romania,45499e,Europe
15,United Kingdom,The United Kingdom,0f75bc,Europe
16,Italy,Italy,13a89e,Europe
17,Ancient Rome,Ancient Rome,144f76,Europe
18,Syria,Syria,056839,Near East
19,Iraq,Iraq,2b4a38,Near East
20,Saudi Arabia,Saudi Arabia,4a7135,Near East
21,Egypt,Egypt,39b54a,Near East
22,Ancient Egypt,Ancient Egypt,76a240,Near East
23,Sudan,Sudan,8cc63f,Africa
24,Kenya,Kenya,d6c934,Africa
25,Mozambique,Mozambique,e9a122,Africa
26,Chad,Chad,e7c21d,Africa
27,Nigeria,Nigeria,b57a2b,Africa
28,Ghana,Ghana,764c29,Africa
29,Mali,Mali,844c1f,Africa
30,Caribbean,Caribbean,9f1f63,Western Hemisphere
31,United States,The United States,92278f,Western Hemisphere
32,Canada,Canada,662d91,Western Hemisphere
33,Chile,Chile,432f88,Western Hemisphere